"Année","Nom_Delegation_fr","Nom_Delegation_ar","Irrigable_ha","Irriguee_ha","Exploitee_ha","Taux_irrigation_pct","Taux_exploitation_pct"
2021,"Zaghouan","زغوان",375,213,214,56.8,57.0666666666667
2021,"Zriba","الزريبة",543,125,125,23.0202578268877,23.0202578268877
2021,"Bir Mchergua","بئر مشارقة",400,0,0,0,0
2021,"Fahs","الفحص",728,331.5,374.5,45.5357142857143,51.4423076923077
2021,"Nadhour","الناظور",1395,700,1036,50.179211469534,74.2652329749104
2021,"Saouaf","صواف",835,219.5,368,26.2874251497006,44.0718562874251
2021,"TOTAL","المجموع",4276,1589,2117.5,37.1608980355472,49.5205799812909
2022,"Zaghouan","زغوان",375,226.25,233.25,60.3333333333333,62.2
2022,"Zriba","الزريبة",543,107.5,107.5,19.7974217311234,19.7974217311234
2022,"Bir Mchergua","بئر مشارقة",400,0,0,0,0
2022,"Fahs","الفحص",728,235,235,32.2802197802198,32.2802197802198
2022,"Nadhour","الناظور",1395,766.25,1088.25,54.9283154121864,78.010752688172
2022,"Saouaf","صواف",835,206,339.5,24.6706586826347,40.6586826347305
2022,"TOTAL","المجموع",4276,1541,2003.5,36.0383536014967,46.854536950421
2023,"Zaghouan","زغوان",375,226.25,233.25,60.3333333333333,62.2
2023,"Zriba","الزريبة",543,107.5,107.5,19.7974217311234,19.7974217311234
2023,"Bir Mchergua","بئر مشارقة",0,0,0,NA,NA
2023,"Fahs","الفحص",728,277,298,38.0494505494505,40.9340659340659
2023,"Nadhour","الناظور",1395,547,757.5,39.2114695340502,54.3010752688172
2023,"Saouaf","صواف",835,153.75,259.75,18.4131736526946,31.1077844311377
2023,"TOTAL","المجموع",3876,1311.5,1656,33.8364293085655,42.7244582043344
2024,"Zaghouan","زغوان",486,416,422,85.59670781893,86.8312757201646
2024,"Zriba","الزريبة",543,168,168,30.939226519337,30.939226519337
2024,"Bir Mchergua","بئر مشارقة",0,0,0,NA,NA
2024,"Fahs","الفحص",728,19,19,2.60989010989011,2.60989010989011
2024,"Nadhour","الناظور",1395,537,747.5,38.494623655914,53.584229390681
2024,"Saouaf","صواف",835,234,319,28.0239520958084,38.2035928143713
2024,"TOTAL","المجموع",3987,1374,1675.5,34.4620015048909,42.0240782543266
